country,city,latitude,longitude
Afghanistan,Kabul,34.5167,69.1833
Aland Islands,Mariehamn,60.1167,19.9
Albania,Tirana,41.3167,19.8167
Algeria,Algiers,36.75,3.05
American Samoa,Pago Pago,-14.2667,-170.7
Andorra,Andorra la Vella,42.5,1.5167
Angola,Luanda,-8.8333,13.2167
Anguilla,The Valley,18.2167,-63.05
Antigua and Barbuda,Saint John’s,17.1167,-61.85
Argentina,Buenos Aires,-34.5833,-58.6667
Armenia,Yerevan,40.1667,44.5
Aruba,Oranjestad,12.5167,-70.0333
Australia,Canberra,-35.2667,149.1333
Austria,Vienna,48.2,16.3667
Azerbaijan,Baku,40.3833,49.8667
Bahamas,Nassau,25.0833,-77.35
Bahrain,Manama,26.2333,50.5667
Bangladesh,Dhaka,23.7167,90.4
Barbados,Bridgetown,13.1,-59.6167
Belarus,Minsk,53.9,27.5667
Belgium,Brussels,50.8333,4.3333
Belize,Belmopan,17.25,-88.7667
Benin,Porto-Novo,6.4833,2.6167
Bermuda,Hamilton,32.2833,-64.7833
Bhutan,Thimphu,27.4667,89.6333
Bolivia,La Paz,-16.5,-68.15
Bosnia and Herzegovina,Sarajevo,43.8667,18.4167
Botswana,Gaborone,-24.6333,25.9
Brazil,Brasilia,-15.7833,-47.9167
British Indian Ocean Territory,Diego Garcia,-7.3,72.4
British Virgin Islands,Road Town,18.4167,-64.6167
Brunei Darussalam,Bandar Seri Begawan,4.8833,114.9333
Bulgaria,Sofia,42.6833,23.3167
Burkina Faso,Ouagadougou,12.3667,-1.5167
Burundi,Bujumbura,-3.3667,29.35
Cambodia,Phnom Penh,11.55,104.9167
Cameroon,Yaounde,3.8667,11.5167
Canada,Toronto,43.65107,-79.347015
Canada,Ottawa,45.4167,-75.7
Cape Verde,Praia,14.9167,-23.5167
Cayman Islands,George Town,19.3,-81.3833
Central African Republic,Bangui,4.3667,18.5833
Chad,N’Djamena,12.1,15.0333
Chile,Santiago,-33.45,-70.6667
China,Beijing,39.9167,116.3833
Christmas Island,The Settlement,-10.4167,105.7167
Cocos Islands,West Island,-12.1667,96.8333
Colombia,Bogota,4.6,-74.0833
Comoros,Moroni,-11.7,43.2333
Cook Islands,Avarua,-21.2,-159.7667
Costa Rica,San Jose,9.9333,-84.0833
Cote d’Ivoire,Yamoussoukro,6.8167,-5.2667
Croatia,Zagreb,45.8,16
Cuba,Havana,23.1167,-82.35
CuraÃ§ao,Willemstad,12.1,-68.9167
Cyprus,Nicosia,35.1667,33.3667
Czech Republic,Prague,50.0833,14.4667
Democratic Republic of the Congo,Kinshasa,-4.3167,15.3
Denmark,Copenhagen,55.6667,12.5833
Djibouti,Djibouti,11.5833,43.15
Dominica,Roseau,15.3,-61.4
Dominican Republic,Santo Domingo,18.4667,-69.9
Ecuador,Quito,-0.2167,-78.5
Egypt,Cairo,30.05,31.25
El Salvador,San Salvador,13.7,-89.2
Equatorial Guinea,Malabo,3.75,8.7833
Eritrea,Asmara,15.3333,38.9333
Estonia,Tallinn,59.4333,24.7167
Ethiopia,Addis Ababa,9.0333,38.7
Falkland Islands,Stanley,-51.7,-57.85
Faroe Islands,Torshavn,62,-6.7667
Federated States of Micronesia,Palikir,6.9167,158.15
Fiji,Suva,-18.1333,178.4167
Finland,Helsinki,60.1667,24.9333
France,Paris,48.8667,2.3333
French Polynesia,Papeete,-17.5333,-149.5667
French Southern and Antarctic Lands,Port-aux-Français,-49.35,70.2167
Gabon,Libreville,0.3833,9.45
Georgia,Tbilisi,41.6833,44.8333
Germany,Berlin,52.5167,13.4
Ghana,Accra,5.55,-0.2167
Gibraltar,Gibraltar,36.1333,-5.35
Greece,Athens,37.9833,23.7333
Greenland,Nuuk,64.1833,-51.75
Grenada,Saint George’s,12.05,-61.75
Guam,Hagatna,13.4667,144.7333
Guatemala,Guatemala City,14.6167,-90.5167
Guernsey,Saint Peter Port,49.45,-2.5333
Guinea,Conakry,9.5,-13.7
Guinea-Bissau,Bissau,11.85,-15.5833
Guyana,Georgetown,6.8,-58.15
Haiti,Port-au-Prince,18.5333,-72.3333
Honduras,Tegucigalpa,14.1,-87.2167
Hungary,Budapest,47.5,19.0833
Iceland,Reykjavik,64.15,-21.95
India,New Delhi,28.6,77.2
Indonesia,Jakarta,-6.1667,106.8167
Iran,Tehran,35.7,51.4167
Iraq,Baghdad,33.3333,44.4
Ireland,Dublin,53.3167,-6.2333
Isle of Man,Douglas,54.15,-4.4833
Israel,Jerusalem,31.7667,35.2333
Italy,Rome,41.9,12.4833
Jamaica,Kingston,18,-76.8
Japan,Tokyo,35.6833,139.75
Jersey,Saint Helier,49.1833,-2.1
Jordan,Amman,31.95,35.9333
Kazakhstan,Astana,51.1667,71.4167
Kenya,Nairobi,-1.2833,36.8167
Kiribati,Tarawa,-0.8833,169.5333
Kosovo,Pristina,42.6667,21.1667
Kuwait,Kuwait City,29.3667,47.9667
Kyrgyzstan,Bishkek,42.8667,74.6
Laos,Vientiane,17.9667,102.6
Latvia,Riga,56.95,24.1
Lebanon,Beirut,33.8667,35.5
Lesotho,Maseru,-29.3167,27.4833
Liberia,Monrovia,6.3,-10.8
Libya,Tripoli,32.8833,13.1667
Liechtenstein,Vaduz,47.1333,9.5167
Lithuania,Vilnius,54.6833,25.3167
Luxembourg,Luxembourg,49.6,6.1167
Macedonia,Skopje,42,21.4333
Madagascar,Antananarivo,-18.9167,47.5167
Malawi,Lilongwe,-13.9667,33.7833
Malaysia,Kuala Lumpur,3.1667,101.7
Maldives,Male,4.1667,73.5
Mali,Bamako,12.65,-8
Malta,Valletta,35.8833,14.5
Marshall Islands,Majuro,7.1,171.3833
Mauritania,Nouakchott,18.0667,-15.9667
Mauritius,Port Louis,-20.15,57.4833
Mexico,Mexico City,19.4333,-99.1333
Moldova,Chisinau,47,28.85
Monaco,Monaco,43.7333,7.4167
Mongolia,Ulaanbaatar,47.9167,106.9167
Montenegro,Podgorica,42.4333,19.2667
Montserrat,Plymouth,16.7,-62.2167
Morocco,Rabat,34.0167,-6.8167
Mozambique,Maputo,-25.95,32.5833
Myanmar,Rangoon,16.8,96.15
Namibia,Windhoek,-22.5667,17.0833
Nauru,Yaren,-0.5477,166.9209
Nepal,Kathmandu,27.7167,85.3167
Netherlands,Amsterdam,52.35,4.9167
New Caledonia,Noumea,-22.2667,166.45
New Zealand,Wellington,-41.3,174.7833
Nicaragua,Managua,12.1333,-86.25
Niger,Niamey,13.5167,2.1167
Nigeria,Abuja,9.0833,7.5333
Niue,Alofi,-19.0167,-169.9167
Norfolk Island,Kingston,-29.05,167.9667
North Korea,Pyongyang,39.0167,125.75
Northern Cyprus,North Nicosia,35.1833,33.3667
Northern Mariana Islands,Saipan,15.2,145.75
Norway,Oslo,59.9167,10.75
Oman,Muscat,23.6167,58.5833
Pakistan,Islamabad,33.6833,73.05
Palau,Melekeok,7.4833,134.6333
Palestine,Jerusalem,31.7667,35.2333
Panama,Panama City,8.9667,-79.5333
Papua New Guinea,Port Moresby,-9.45,147.1833
Paraguay,Asuncion,-25.2667,-57.6667
Peru,Lima,-12.05,-77.05
Philippines,Manila,14.6,120.9667
Pitcairn Islands,Adamstown,-25.0667,-130.0833
Poland,Warsaw,52.25,21
Portugal,Lisbon,38.7167,-9.1333
Puerto Rico,San Juan,18.4667,-66.1167
Qatar,Doha,25.2833,51.5333
Republic of Congo,Brazzaville,-4.25,15.2833
Romania,Bucharest,44.4333,26.1
Russia,Moscow,55.75,37.6
Rwanda,Kigali,-1.95,30.05
Saint Barthelemy,Gustavia,17.8833,-62.85
Saint Helena,Jamestown,-15.9333,-5.7167
Saint Kitts and Nevis,Basseterre,17.3,-62.7167
Saint Lucia,Castries,14,-61
Saint Martin,Marigot,18.0731,-63.0822
Saint Pierre and Miquelon,Saint-Pierre,46.7667,-56.1833
Saint Vincent and the Grenadines,Kingstown,13.1333,-61.2167
Samoa,Apia,-13.8167,-171.7667
San Marino,San Marino,43.9333,12.4167
Sao Tome and Principe,Sao Tome,0.3333,6.7333
Saudi Arabia,Riyadh,24.65,46.7
Senegal,Dakar,14.7333,-17.6333
Serbia,Belgrade,44.8333,20.5
Seychelles,Victoria,-4.6167,55.45
Sierra Leone,Freetown,8.4833,-13.2333
Singapore,Singapore,1.2833,103.85
Sint Maarten,Philipsburg,18.0167,-63.0333
Slovakia,Bratislava,48.15,17.1167
Slovenia,Ljubljana,46.05,14.5167
Solomon Islands,Honiara,-9.4333,159.95
Somalia,Mogadishu,2.0667,45.3333
Somaliland,Hargeisa,9.55,44.05
South Africa,Pretoria,-25.7,28.2167
South Georgia and South Sandwich Islands,King Edward Point,-54.2833,-36.5
South Korea,Seoul,37.55,126.9833
South Sudan,Juba,4.85,31.6167
Spain,Madrid,40.4,-3.6833
Sri Lanka,Colombo,6.9167,79.8333
Sudan,Khartoum,15.6,32.5333
Suriname,Paramaribo,5.8333,-55.1667
Svalbard,Longyearbyen,78.2167,15.6333
Swaziland,Mbabane,-26.3167,31.1333
Sweden,Stockholm,59.3333,18.05
Switzerland,Bern,46.9167,7.4667
Syria,Damascus,33.5,36.3
Taiwan,Taipei,25.0333,121.5167
Tajikistan,Dushanbe,38.55,68.7667
Tanzania,Dar es Salaam,-6.8,39.2833
Thailand,Bangkok,13.75,100.5167
The Gambia,Banjul,13.45,-16.5667
Timor-Leste,Dili,-8.5833,125.6
Togo,Lome,6.1167,1.2167
Tokelau,Atafu,-9.1667,-171.8333
Tonga,Nuku’alofa,-21.1333,-175.2
Trinidad and Tobago,Port of Spain,10.65,-61.5167
Tunisia,Tunis,36.8,10.1833
Turkey,Ankara,39.9333,32.8667
Turkmenistan,Ashgabat,37.95,58.3833
Turks and Caicos Islands,Grand Turk,21.4667,-71.1333
Tuvalu,Funafuti,-8.5167,179.2167
Uganda,Kampala,0.3167,32.55
Ukraine,Kyiv,50.4333,30.5167
United Arab Emirates,Abu Dhabi,24.4667,54.3667
United Kingdom,London,51.5,-0.0833
United States,"Washington, D.C.",38.8833,-77
United States,New York,40.785091,-73.968285
Uruguay,Montevideo,-34.85,-56.1667
US Virgin Islands,Charlotte Amalie,18.35,-64.9333
Uzbekistan,Tashkent,41.3167,69.25
Vanuatu,Port-Vila,-17.7333,168.3167
Vatican City,Vatican City,41.9,12.45
Venezuela,Caracas,10.4833,-66.8667
Vietnam,Hanoi,21.0333,105.85
Wallis and Futuna,Mata-Utu,-13.95,-171.9333
Western Sahara,El-Aain,27.1536,-13.2033
Yemen,Sanaa,15.35,44.2
Zambia,Lusaka,-15.4167,28.2833
Zimbabwe,Harare,-17.8167,31.0333
